Date,HomeTeam,AwayTeam,FTHG,FTAG,Season,League,Country,Game
1993-09-05,Ath Bilbao,Albacete,4,1,1993-94,LaLiga,Spain,1993-09-05_Ath Bilbao_Albacete
1993-09-05,Ath Madrid,Logrones,1,0,1993-94,LaLiga,Spain,1993-09-05_Ath Madrid_Logrones
1993-09-05,Barcelona,Sociedad,3,0,1993-94,LaLiga,Spain,1993-09-05_Barcelona_Sociedad
1993-09-05,La Coruna,Celta,0,0,1993-94,LaLiga,Spain,1993-09-05_La Coruna_Celta
1993-09-05,Osasuna,Real Madrid,1,4,1993-94,LaLiga,Spain,1993-09-05_Osasuna_Real Madrid
1993-09-05,Oviedo,Valencia,0,3,1993-94,LaLiga,Spain,1993-09-05_Oviedo_Valencia
1993-09-05,Santander,Vallecano,1,0,1993-94,LaLiga,Spain,1993-09-05_Santander_Vallecano
1993-09-05,Tenerife,Lerida,1,0,1993-94,LaLiga,Spain,1993-09-05_Tenerife_Lerida
1993-09-05,Valladolid,Sp Gijon,0,1,1993-94,LaLiga,Spain,1993-09-05_Valladolid_Sp Gijon
1993-09-05,Zaragoza,Sevilla,1,2,1993-94,LaLiga,Spain,1993-09-05_Zaragoza_Sevilla
1993-09-12,Albacete,Barcelona,0,0,1993-94,LaLiga,Spain,1993-09-12_Albacete_Barcelona
1993-09-12,Celta,Oviedo,1,1,1993-94,LaLiga,Spain,1993-09-12_Celta_Oviedo
1993-09-12,Lerida,Ath Bilbao,1,2,1993-94,LaLiga,Spain,1993-09-12_Lerida_Ath Bilbao
1993-09-12,Logrones,Santander,0,1,1993-94,LaLiga,Spain,1993-09-12_Logrones_Santander
1993-09-12,Real Madrid,Valladolid,1,3,1993-94,LaLiga,Spain,1993-09-12_Real Madrid_Valladolid
1993-09-12,Sevilla,Osasuna,1,1,1993-94,LaLiga,Spain,1993-09-12_Sevilla_Osasuna
1993-09-12,Sociedad,Zaragoza,2,2,1993-94,LaLiga,Spain,1993-09-12_Sociedad_Zaragoza
1993-09-12,Sp Gijon,La Coruna,0,2,1993-94,LaLiga,Spain,1993-09-12_Sp Gijon_La Coruna
1993-09-12,Valencia,Ath Madrid,2,2,1993-94,LaLiga,Spain,1993-09-12_Valencia_Ath Madrid
1993-09-12,Vallecano,Tenerife,4,3,1993-94,LaLiga,Spain,1993-09-12_Vallecano_Tenerife
1993-09-19,Ath Bilbao,Barcelona,0,0,1993-94,LaLiga,Spain,1993-09-19_Ath Bilbao_Barcelona
1993-09-19,Ath Madrid,Celta,3,2,1993-94,LaLiga,Spain,1993-09-19_Ath Madrid_Celta
1993-09-19,La Coruna,Real Madrid,4,0,1993-94,LaLiga,Spain,1993-09-19_La Coruna_Real Madrid
1993-09-19,Lerida,Vallecano,0,1,1993-94,LaLiga,Spain,1993-09-19_Lerida_Vallecano
