Date,HomeTeam,AwayTeam,FTHG,FTAG,Season,League,Country,Game
1993-08-14,Arsenal,Coventry,0,3,1993-94,Premier,England,1993-08-14_Arsenal_Coventry
1993-08-14,Aston Villa,QPR,4,1,1993-94,Premier,England,1993-08-14_Aston Villa_QPR
1993-08-14,Chelsea,Blackburn,1,2,1993-94,Premier,England,1993-08-14_Chelsea_Blackburn
1993-08-14,Liverpool,Sheffield Weds,2,0,1993-94,Premier,England,1993-08-14_Liverpool_Sheffield Weds
1993-08-14,Man City,Leeds,1,1,1993-94,Premier,England,1993-08-14_Man City_Leeds
1993-08-14,Newcastle,Tottenham,0,1,1993-94,Premier,England,1993-08-14_Newcastle_Tottenham
1993-08-14,Oldham,Ipswich,0,3,1993-94,Premier,England,1993-08-14_Oldham_Ipswich
1993-08-14,Sheffield United,Swindon,3,1,1993-94,Premier,England,1993-08-14_Sheffield United_Swindon
1993-08-14,Southampton,Everton,0,2,1993-94,Premier,England,1993-08-14_Southampton_Everton
1993-08-14,West Ham,Wimbledon,0,2,1993-94,Premier,England,1993-08-14_West Ham_Wimbledon
1993-08-15,Norwich,Man United,0,2,1993-94,Premier,England,1993-08-15_Norwich_Man United
1993-08-16,Tottenham,Arsenal,0,1,1993-94,Premier,England,1993-08-16_Tottenham_Arsenal
1993-08-17,Everton,Man City,1,0,1993-94,Premier,England,1993-08-17_Everton_Man City
1993-08-17,Ipswich,Southampton,1,0,1993-94,Premier,England,1993-08-17_Ipswich_Southampton
1993-08-17,Leeds,West Ham,1,0,1993-94,Premier,England,1993-08-17_Leeds_West Ham
1993-08-17,Wimbledon,Chelsea,1,1,1993-94,Premier,England,1993-08-17_Wimbledon_Chelsea
1993-08-18,Blackburn,Norwich,2,3,1993-94,Premier,England,1993-08-18_Blackburn_Norwich
1993-08-18,Coventry,Newcastle,2,1,1993-94,Premier,England,1993-08-18_Coventry_Newcastle
1993-08-18,Man United,Sheffield United,3,0,1993-94,Premier,England,1993-08-18_Man United_Sheffield United
1993-08-18,QPR,Liverpool,1,3,1993-94,Premier,England,1993-08-18_QPR_Liverpool
1993-08-18,Sheffield Weds,Aston Villa,0,0,1993-94,Premier,England,1993-08-18_Sheffield Weds_Aston Villa
1993-08-18,Swindon,Oldham,0,1,1993-94,Premier,England,1993-08-18_Swindon_Oldham
1993-08-21,Blackburn,Oldham,1,0,1993-94,Premier,England,1993-08-21_Blackburn_Oldham
1993-08-21,Coventry,West Ham,1,1,1993-94,Premier,England,1993-08-21_Coventry_West Ham
1993-08-21,Everton,Sheffield United,4,2,1993-94,Premier,England,1993-08-21_Everton_Sheffield United
1993-08-21,Ipswich,Chelsea,1,0,1993-94,Premier,England,1993-08-21_Ipswich_Chelsea
1993-08-21,Leeds,Norwich,0,4,1993-94,Premier,England,1993-08-21_Leeds_Norwich
1993-08-21,Man United,Newcastle,1,1,1993-94,Premier,England,1993-08-21_Man United_Newcastle
1993-08-21,QPR,Southampton,2,1,1993-94,Premier,England,1993-08-21_QPR_Southampton
1993-08-21,Sheffield Weds,Arsenal,0,1,1993-94,Premier,England,1993-08-21_Sheffield Weds_Arsenal
1993-08-21,Tottenham,Man City,1,0,1993-94,Premier,England,1993-08-21_Tottenham_Man City
1993-08-21,Wimbledon,Aston Villa,2,2,1993-94,Premier,England,1993-08-21_Wimbledon_Aston Villa
1993-08-22,Swindon,Liverpool,0,5,1993-94,Premier,England,1993-08-22_Swindon_Liverpool
1993-08-23,Aston Villa,Man United,1,2,1993-94,Premier,England,1993-08-23_Aston Villa_Man United
1993-08-24,Arsenal,Leeds,2,1,1993-94,Premier,England,1993-08-24_Arsenal_Leeds
1993-08-24,Man City,Blackburn,0,2,1993-94,Premier,England,1993-08-24_Man City_Blackburn
1993-08-24,Oldham,Coventry,3,3,1993-94,Premier,England,1993-08-24_Oldham_Coventry
1993-08-24,Sheffield United,Wimbledon,2,1,1993-94,Premier,England,1993-08-24_Sheffield United_Wimbledon
1993-08-25,Chelsea,QPR,2,0,1993-94,Premier,England,1993-08-25_Chelsea_QPR
1993-08-25,Liverpool,Tottenham,1,2,1993-94,Premier,England,1993-08-25_Liverpool_Tottenham
1993-08-25,Newcastle,Everton,1,0,1993-94,Premier,England,1993-08-25_Newcastle_Everton
1993-08-25,Norwich,Ipswich,1,0,1993-94,Premier,England,1993-08-25_Norwich_Ipswich
1993-08-25,Southampton,Swindon,5,1,1993-94,Premier,England,1993-08-25_Southampton_Swindon
